Frecuencia,Glifo Poli Cu D 0.1v2,Glifo Poli Cu D 0.08v2,Glifo Poli Cu D 0.04v2,Glifo Poli Cu D 0.02v2,Glifo Poli Cu D 0.01v2,Poli Cu D Agua V2,KCl Poli Cu D 0.1v2,KCl Poli Cu D 0.08v2,KCl Poli Cu D 0.04v2,KCl Poli Cu D 0.02v2,KCl Poli Cu D 0.01v2
2.17E+08,-4.15604,-3.83206,-2.31147,-1.35399,-0.85302,-0.13265,-5.00336,-4.34796,-2.54076,-1.3948,-0.78284
2.19E+08,-4.13285,-3.81204,-2.30155,-1.3535,-0.85069,-0.13783,-4.97808,-4.31648,-2.52915,-1.38926,-0.78287
2.20E+08,-4.10026,-3.78771,-2.28473,-1.34041,-0.8458,-0.13796,-4.94014,-4.28904,-2.51032,-1.37879,-0.77569
2.22E+08,-4.06734,-3.75507,-2.26992,-1.33218,-0.84093,-0.13978,-4.90708,-4.26122,-2.49252,-1.37116,-0.77119
2.23E+08,-4.05373,-3.73875,-2.26338,-1.33076,-0.85018,-0.15467,-4.88006,-4.23742,-2.47842,-1.36857,-0.7766
2.24E+08,-4.0192,-3.70343,-2.23512,-1.3125,-0.83288,-0.14153,-4.84333,-4.20845,-2.45947,-1.36013,-0.76665
2.26E+08,-3.99526,-3.6821,-2.22876,-1.31247,-0.83553,-0.14975,-4.80414,-4.17134,-2.43618,-1.34007,-0.76131
2.27E+08,-3.97728,-3.66591,-2.21265,-1.30448,-0.83606,-0.1565,-4.77987,-4.14465,-2.43426,-1.34425,-0.76382
2.29E+08,-3.95418,-3.64359,-2.20923,-1.30698,-0.83758,-0.16477,-4.75548,-4.12082,-2.41899,-1.33929,-0.76517
2.30E+08,-3.91824,-3.60914,-2.19022,-1.29032,-0.82934,-0.16183,-4.71215,-4.08284,-2.39008,-1.32661,-0.75532
2.31E+08,-3.9013,-3.59968,-2.18153,-1.2964,-0.82978,-0.17182,-4.6802,-4.05847,-2.38263,-1.31747,-0.75451
2.33E+08,-3.87651,-3.56938,-2.16085,-1.28385,-0.82729,-0.17162,-4.66854,-4.03418,-2.37652,-1.31785,-0.76223
2.34E+08,-3.85577,-3.54902,-2.14919,-1.27852,-0.82363,-0.17372,-4.62378,-4.00593,-2.35443,-1.3086,-0.75819
2.36E+08,-3.81927,-3.52491,-2.13063,-1.265,-0.81538,-0.17156,-4.58622,-3.97781,-2.32704,-1.2913,-0.74278
2.37E+08,-3.79206,-3.50461,-2.12018,-1.26109,-0.81473,-0.17584,-4.55465,-3.9422,-2.31676,-1.2863,-0.74094
2.38E+08,-3.78069,-3.48572,-2.118,-1.27074,-0.82178,-0.19175,-4.54537,-3.93632,-2.31941,-1.30184,-0.75615
2.40E+08,-3.75504,-3.45937,-2.1043,-1.25468,-0.80901,-0.18698,-4.51028,-3.90611,-2.29203,-1.2808,-0.74456
2.41E+08,-3.73369,-3.43944,-2.0877,-1.24959,-0.80933,-0.19173,-4.47708,-3.87875,-2.28123,-1.2753,-0.74235
2.43E+08,-3.70123,-3.41328,-2.0649,-1.2308,-0.79457,-0.18375,-4.44488,-3.85483,-2.2649,-1.27294,-0.74676
2.44E+08,-3.68557,-3.39442,-2.06235,-1.23344,-0.80061,-0.19008,-4.4299,-3.83814,-2.26493,-1.27571,-0.74368
2.45E+08,-3.65897,-3.37978,-2.04854,-1.23118,-0.80058,-0.19924,-4.40326,-3.82106,-2.25301,-1.26716,-0.75078
2.47E+08,-3.64657,-3.35916,-2.04403,-1.23197,-0.8083,-0.20533,-4.36046,-3.78143,-2.23098,-1.25334,-0.73709
2.48E+08,-3.61084,-3.32855,-2.0251,-1.21943,-0.79142,-0.19976,-4.34245,-3.76467,-2.22049,-1.25415,-0.73539
2.50E+08,-3.59942,-3.31503,-2.02318,-1.21486,-0.79492,-0.21045,-4.32729,-3.7454,-2.21829,-1.26007,-0.75094
2.51E+08,-3.57319,-3.29644,-2.01131,-1.21231,-0.79059,-0.20956,-4.29255,-3.72181,-2.20227,-1.24823,-0.74043
2.52E+08,-3.5507,-3.27181,-1.99325,-1.20664,-0.78712,-0.20951,-4.2751,-3.70917,-2.19646,-1.2443,-0.74384
